"postcode_area","FRall","FR34","FR45","FR56","FR67","FR78","FR89","FR910","FRm10"
"AB",0.234600784439653,0.126166871698386,0.148172323759791,0.174008593826877,0.201064234131509,0.231947004968284,0.253677584407715,0.280492091388401,0.312948699562162
"AL",0.164359045279274,0.0795364572086662,0.0912652840640411,0.107999435665914,0.122165664044424,0.140162486753797,0.15672550213025,0.175044203081586,0.227843025662252
"B",0.154775692029428,0.0933860531991373,0.0975872468763464,0.106001694830766,0.119073397150728,0.130443232848127,0.144852941176471,0.16075073313783,0.192324389590392
"BA",0.226333884332437,0.0945480395909663,0.111080009330534,0.125227452993048,0.146774708606099,0.164481242324605,0.186873866056638,0.210203489576858,0.293709230108199
"BB",0.164321031356339,0.0675517945725124,0.08746159350141,0.102643444434621,0.118695618695619,0.134265579456149,0.147421771705597,0.17328178016255,0.217593667159384
"BD",0.182162837055772,0.0896756082345602,0.0951764180437695,0.112504250255015,0.137173005056056,0.149608889538709,0.167798768838888,0.18819753966839,0.231451503196844
"BH",0.207146629652424,0.0969672607083836,0.107640982354596,0.121174540944913,0.135340152399259,0.154269070916648,0.174671916010499,0.192445073460035,0.263257598417503
"BL",0.182594178657209,0.0844044746654968,0.0983372145279242,0.115513271645163,0.134541264354115,0.160066529383811,0.182498699011249,0.203901101331328,0.25181146703481
"BN",0.218972044044525,0.106008739985433,0.115882099970227,0.130616340800207,0.145790436970945,0.165319987698158,0.184345891839288,0.204312114989733,0.280660360722574
"BR",0.132078680346919,0.0828025477707006,0.0874783002490754,0.0913625405270596,0.10566724711097,0.116194367948832,0.126403899131172,0.138611357025421,0.181677247896058
"BS",0.224220454659961,0.109856809086493,0.123030485964383,0.13852075314678,0.161885885224541,0.176175503008052,0.197497310458071,0.221159437726844,0.288387554340062
"CA",0.191466386089268,0.0922711058263972,0.102790942601369,0.115968490792425,0.13462869802003,0.15903028033884,0.184403274450668,0.206808139217719,0.267448029711089
"CB",0.187227733210002,0.0980165607548623,0.108799473019707,0.118186255898465,0.132230645531817,0.148294748469646,0.167247546546822,0.186812652068127,0.239732161309434
"CF",0.212990218131805,0.097652773186176,0.114169281729428,0.130207542668778,0.154764907223924,0.178226138233681,0.201657365696228,0.226351778014325,0.282686489423612
"CH",0.200219829267326,0.0896124773403564,0.10635498577242,0.121372705506784,0.145286526684164,0.165985713156022,0.186264308012487,0.213188619360689,0.267909905100284
"CM",0.162500050953233,0.0862976331523985,0.0963632679937193,0.109018036072144,0.12938514706248,0.139113978036038,0.157329371768134,0.175615818488895,0.217789304324857
"CO",0.187062373214453,0.0852873427440789,0.0953001929998435,0.110834687246141,0.128105897356964,0.144439636520987,0.159321164450904,0.183457572646521,0.240312179139604
"CR",0.136885063061548,0.0938916357643181,0.0992483926469257,0.104918032786885,0.115746026170194,0.118361526357199,0.126875615549505,0.136336416261894,0.170041184739451
"CT",0.199650152147373,0.0909413015235621,0.103926335937096,0.118464138586669,0.134737984355925,0.159193801149225,0.176103626045141,0.192936852955676,0.2551133126359
"CV",0.170933253052086,0.0760202433509206,0.0891320204230489,0.10251102732806,0.123520546123498,0.142612193056732,0.164451041128893,0.182693652940354,0.226386875834825
"CW",0.183459785175712,0.0819523269012486,0.0984638630067993,0.117070919440029,0.138088431924017,0.166544722882751,0.182386887153872,0.209116439835818,0.249626811768671
"DA",0.130131908498915,0.0776894942615714,0.0805726131341182,0.0967477676742853,0.104902190008573,0.111144839549003,0.125031779122388,0.139665787159191,0.174227803158006
"DD",0.253063592962836,0.129632152588556,0.155092881186884,0.180154142581888,0.218892581535515,0.242736867069845,0.272445232366722,0.292220113851992,0.339244219821076
